MaxEstLhood,MaxObsLhood,mutation_model,,,,,,,,,,,,,
-226481.065,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226492.161,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226500.666,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226501.638,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226512.708,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226514.098,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226525.33,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226526.351,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226527.816,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226528.266,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226530.006,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226533.401,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226535.234,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226535.778,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226537.094,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226542.192,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226543.455,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226544.706,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226546.657,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226547.627,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226549.137,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226550.203,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-226551.067,-216053.662,13_div_botgwt,,,,,,,,,,,,,
-218661.26,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218670.612,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218685.92,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218699.716,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218720.313,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218721.869,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218733.754,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218739.441,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218750.918,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218764.257,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218770.604,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218774.862,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218776.584,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218778.183,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218778.506,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218798.477,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218806.098,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218806.957,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218813.546,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
-218813.956,-216053.662,14_mig_botgwt,,,,,,,,,,,,,
