MaxEstLhood,MaxObsLhood,mutation_model,,,,,,,,,,,,,
-510719.014,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510719.538,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510720.791,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510726.934,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510737.102,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510747.782,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510766.309,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510769.494,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510772.703,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510787.172,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510789.765,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510792.089,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510805.697,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510808.66,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510836.114,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510846.889,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510848.34,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510853.907,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510862.973,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510873.648,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510878.871,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510887.408,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510891.343,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510911.158,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510926.91,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510946.828,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510950.34,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510965.245,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510967.203,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510970.66,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510978.639,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510980.239,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-510998.375,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-511053.544,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-511062.154,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
-511074.907,-485963.851,14_mig_botgwt,,,,,,,,,,,,,
