lhoods_value,mutation_model
-219264.486,mut_1e-11_INB70
-218659.157,mut_2e-10_INB70
-218660.927,mut_2e-10_INB70
-218673.918,mut_2e-10_INB70
-218696.04,mut_2e-10_INB70
-218712.207,mut_2e-10_INB70
-218743.811,mut_2e-10_INB70
-218747.283,mut_2e-10_INB70
-218750.74,mut_2e-10_INB70
-218753.93,mut_2e-10_INB70
-218757.993,mut_2e-10_INB70
-218764.359,mut_2e-10_INB70
-218766.532,mut_2e-10_INB70
-218767.472,mut_2e-10_INB70
-218770.746,mut_2e-10_INB70
-218770.855,mut_2e-10_INB70
-218772.035,mut_2e-10_INB70
-218773.023,mut_2e-10_INB70
-218774.351,mut_2e-10_INB70
-218774.495,mut_2e-10_INB70
-218775.004,mut_2e-10_INB70
-218775.083,mut_2e-10_INB70
-218777.744,mut_2e-10_INB70
-218779.724,mut_2e-10_INB70
-218788.369,mut_2e-10_INB70
-218789.042,mut_2e-10_INB70
-218791.945,mut_2e-10_INB70
-218792.12,mut_2e-10_INB70
-218796.1,mut_2e-10_INB70
-218800.196,mut_2e-10_INB70
-218800.632,mut_2e-10_INB70
-218801.855,mut_2e-10_INB70
-218804.43,mut_2e-10_INB70
-218818.312,mut_2e-10_INB70
-218822.703,mut_2e-10_INB70
-218822.917,mut_2e-10_INB70
-218830.392,mut_2e-10_INB70
-218834.818,mut_2e-10_INB70
-218857.136,mut_2e-10_INB70
-218868.014,mut_2e-10_INB70
-218880.032,mut_2e-10_INB70
-218918.879,mut_2e-10_INB70
-218923.877,mut_2e-10_INB70
-219114.337,mut_2e-10_INB70
-220305.485,mut_2e-10_INB70
-220309.018,mut_2e-10_INB70
-220309.044,mut_2e-10_INB70
-220310.812,mut_2e-10_INB70
-220312.117,mut_2e-10_INB70
-220312.782,mut_2e-10_INB70
-220316.545,mut_2e-10_INB70
-218640.331,mut_4e-10_INB70
-218717.424,mut_4e-10_INB70
-218719.611,mut_4e-10_INB70
-218730.358,mut_4e-10_INB70
-218731.653,mut_4e-10_INB70
-218732.358,mut_4e-10_INB70
-218757.789,mut_4e-10_INB70
-218777.109,mut_4e-10_INB70
-218777.345,mut_4e-10_INB70
-218779.916,mut_4e-10_INB70
-218780.827,mut_4e-10_INB70
-218781.007,mut_4e-10_INB70
-218790.927,mut_4e-10_INB70
-218794.33,mut_4e-10_INB70
-218795.779,mut_4e-10_INB70
-218796.985,mut_4e-10_INB70
-218797.835,mut_4e-10_INB70
-218799.425,mut_4e-10_INB70
-218803.861,mut_4e-10_INB70
-218804.992,mut_4e-10_INB70
-218806.953,mut_4e-10_INB70
-218809.065,mut_4e-10_INB70
-218813.216,mut_4e-10_INB70
-218814.993,mut_4e-10_INB70
-218817.843,mut_4e-10_INB70
-218825.165,mut_4e-10_INB70
-218825.61,mut_4e-10_INB70
-218826.73,mut_4e-10_INB70
-218827.771,mut_4e-10_INB70
-218832.616,mut_4e-10_INB70
-218835.353,mut_4e-10_INB70
-218837.239,mut_4e-10_INB70
-218842.351,mut_4e-10_INB70
-218842.727,mut_4e-10_INB70
-218844.007,mut_4e-10_INB70
-218844.702,mut_4e-10_INB70
-218850.581,mut_4e-10_INB70
-218854.517,mut_4e-10_INB70
-218858.944,mut_4e-10_INB70
-218877.729,mut_4e-10_INB70
-218911.281,mut_4e-10_INB70
-218981.409,mut_4e-10_INB70
-220314.408,mut_4e-10_INB70
-220315.702,mut_4e-10_INB70
-220318.508,mut_4e-10_INB70
-220319.969,mut_4e-10_INB70
-220322.184,mut_4e-10_INB70
-220329.436,mut_4e-10_INB70
-220331.242,mut_4e-10_INB70
-220333.937,mut_4e-10_INB70
-218645.611,mut_6e-10_INB70
-218676.101,mut_6e-10_INB70
-218696.404,mut_6e-10_INB70
-218707.828,mut_6e-10_INB70
-218715.464,mut_6e-10_INB70
-218717.943,mut_6e-10_INB70
-218719.069,mut_6e-10_INB70
-218730.051,mut_6e-10_INB70
-218733.275,mut_6e-10_INB70
-218735.047,mut_6e-10_INB70
-218752.635,mut_6e-10_INB70
-218754.416,mut_6e-10_INB70
-218758.577,mut_6e-10_INB70
-218766.498,mut_6e-10_INB70
-218768.312,mut_6e-10_INB70
-218772.727,mut_6e-10_INB70
-218772.815,mut_6e-10_INB70
-218775.828,mut_6e-10_INB70
-218785.051,mut_6e-10_INB70
-218787.683,mut_6e-10_INB70
-218789.548,mut_6e-10_INB70
-218792.858,mut_6e-10_INB70
-218796.085,mut_6e-10_INB70
-218801.652,mut_6e-10_INB70
-218802.427,mut_6e-10_INB70
-218805.111,mut_6e-10_INB70
-218807.777,mut_6e-10_INB70
-218809.887,mut_6e-10_INB70
-218810.596,mut_6e-10_INB70
-218813.387,mut_6e-10_INB70
-218818.307,mut_6e-10_INB70
-218823.097,mut_6e-10_INB70
-218823.762,mut_6e-10_INB70
-218826.45,mut_6e-10_INB70
-218830.49,mut_6e-10_INB70
-218831.143,mut_6e-10_INB70
-218834.047,mut_6e-10_INB70
-218834.612,mut_6e-10_INB70
-218834.743,mut_6e-10_INB70
-218841.505,mut_6e-10_INB70
-218843.393,mut_6e-10_INB70
-218880.339,mut_6e-10_INB70
-220302.126,mut_6e-10_INB70
-220307.152,mut_6e-10_INB70
-220312.039,mut_6e-10_INB70
-220312.418,mut_6e-10_INB70
-220313.599,mut_6e-10_INB70
-220317.507,mut_6e-10_INB70
-220320.369,mut_6e-10_INB70
-220320.707,mut_6e-10_INB70
-218642.532,mut_8e-10_INB70
-218645.266,mut_8e-10_INB70
-218651.142,mut_8e-10_INB70
-218669.323,mut_8e-10_INB70
-218687.508,mut_8e-10_INB70
-218700.594,mut_8e-10_INB70
-218702.119,mut_8e-10_INB70
